species_name,species_safe,taxonomy_level,value,n_records
Galago senegalensis,Galago_senegalensis,class,Mammalia,218
Galago senegalensis,Galago_senegalensis,family,Galagidae,218
Galago senegalensis,Galago_senegalensis,genus,Galago,218
Galago senegalensis,Galago_senegalensis,kingdom,Animalia,218
Galago senegalensis,Galago_senegalensis,order,Primates,218
Galago senegalensis,Galago_senegalensis,phylum,Chordata,218
Galago senegalensis,Galago_senegalensis,species,Galago senegalensis,218
Galagoides demidoff,Galagoides_demidoff,class,Mammalia,58
Galagoides demidoff,Galagoides_demidoff,family,Galagidae,58
Galagoides demidoff,Galagoides_demidoff,genus,Galagoides,58
Galagoides demidoff,Galagoides_demidoff,kingdom,Animalia,58
Galagoides demidoff,Galagoides_demidoff,order,Primates,58
Galagoides demidoff,Galagoides_demidoff,phylum,Chordata,58
Galagoides demidoff,Galagoides_demidoff,species,Galagoides demidoff,58
Galictis cuja,Galictis_cuja,class,Mammalia,796
Galictis cuja,Galictis_cuja,family,Mustelidae,796
Galictis cuja,Galictis_cuja,genus,Galictis,796
